what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.200.v201104061711,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1379711323158
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.2.v201103292152,"org.eclipse.jst.jsf.facesconfig.ui",1379711323160
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1379711323169
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1379711323171
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.100.v201104061711,"org.eclipse.jst.pagedesigner.jsf.ui",1379711323172
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner",1379711323174
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1379711323175
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1379711323176
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.3.v201201121156,"org.eclipse.datatools.connectivity.oda.template.ui",1379711323177
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1379711323177
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1379711323179
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1379711323180
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1379711323181
stopped,bundle,org.eclipse.birt.chart.reportitem.ui,3.7.2.v20120213,"org.eclipse.birt.chart.reportitem.ui",1379711323182
stopped,bundle,org.eclipse.birt.report.item.crosstab.ui,3.7.2.v20120213,"org.eclipse.birt.report.item.crosstab.ui",1379711323183
stopped,bundle,org.eclipse.birt.report.designer.ui.ide,3.7.2.v20120213,"org.eclipse.birt.report.designer.ui.ide",1379711323184
stopped,bundle,org.jboss.tools.cdi.seam.config.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.config.core",1379711323185
stopped,bundle,org.jboss.tools.cdi.seam.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.core",1379711323185
stopped,bundle,org.jboss.tools.cdi.seam.faces.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.faces.core",1379711323186
stopped,bundle,org.jboss.tools.cdi.seam.solder.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.seam.solder.core",1379711323186
stopped,bundle,org.jboss.tools.cdi.core,1.2.0.v20120302-0255-H54-Beta1,"org.jboss.tools.cdi.core",1379711323186
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.text.ext.richfaces",1379711323187
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.text.ext.facelets",1379711323188
stopped,bundle,org.jboss.tools.jsf.text.ext,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.text.ext",1379711323189
stopped,bundle,org.jboss.tools.jsf.verification,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf.verification",1379711323189
stopped,bundle,org.jboss.tools.jsf,3.3.0.v20120302-0331-H69-Beta1,"org.jboss.tools.jsf",1379711323189
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.ui.palette",1379711323190
stopped,bundle,org.jboss.tools.jst.jsp,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.jsp",1379711323191
stopped,bundle,org.jboss.tools.struts.text.ext,3.3.0.v20120302-0304-H64-Beta1,"org.jboss.tools.struts.text.ext",1379711323191
stopped,bundle,org.jboss.tools.jst.text.ext,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.text.ext",1379711323192
stopped,bundle,org.jboss.tools.jst.web.kb,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.web.kb",1379711323192
stopped,bundle,org.jboss.tools.common.el.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.el.ui",1379711323192
stopped,bundle,org.jboss.tools.vpe.resref,3.3.0.v20120302-0244-H56-Beta1,"org.jboss.tools.vpe.resref",1379711323193
stopped,bundle,org.jboss.tools.common.resref.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.resref.ui",1379711323193
stopped,bundle,org.jboss.tools.common.verification.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.verification.ui",1379711323193
